,a,i,u,e,o,,ya,yu,yo
,あ,い,う,え,お,,,,
k,か,き,く,け,こ,k,きゃ,きゅ,きょ
s,さ,し,す,せ,そ,s,しゃ,しゅ,しょ
t,た,ち,つ,て,と,t,ちゃ,ちゅ,ちょ
n,な,に,ぬ,ね,の,n,にゃ,にゅ,にょ
h,は,ひ,ふ,へ,ほ,h,ひゃ,ひゅ,ひょ
m,ま,み,む,め,も,m,みゃ,みゅ,みょ
y,や,,ゆ,,よ,,,,
r,ら,り,る,れ,ろ,r,りゃ,りゅ,りょ
w,わ,,,,を,,,,
n,ん,,,,,,,,
g,が,ぎ,ぐ,げ,ご,g,ぎゃ,ぎゅ,ぎょ
z,ざ,じ,ず,ぜ,ぞ,z,じゃ,じゅ,じょ
d,だ,ぢ,づ,で,ど,,,,
b,ば,び,ぶ,べ,ぼ,b,びゃ,びゅ,びょ
p,ぱ,ぴ,ぷ,ぺ,ぽ,p,ぴゃ,ぴゅ,ぴょ
