,a,i,u,e,o,,ya,yu,yo
,ア,イ,ウ,エ,オ,,,,
k,カ,キ,ク,ケ,コ,k,キャ,キュ,キョ
s,サ,シ,ス,セ,ソ,s,シャ,シュ,ショ
t,タ,チ,ツ,テ,ト,t,チャ,チュ,チョ
n,ナ,ニ,ヌ,ネ,ノ,n,ニャ,ニュ,ニョ
h,ハ,ヒ,フ,ヘ,ホ,h,ヒャ,ヒュ,ヒョ
m,マ,ミ,ム,メ,モ,m,ミャ,ミュ,ミョ
y,ヤ,,ユ,,ヨ,,,,
r,ラ,リ,ル,レ,ロ,r,リャ,リュ,リョ
w,ワ,,,,ヲ,,,,
n,ン,,,,,,,,
g,ガ,ギ,グ,ゲ,ゴ,g,ギャ,ギュ,ギョ
z,ザ,ジ,ズ,ゼ,ゾ,z,ジャ,ジュ,ジョ
d,ダ,ヂ,ヅ,デ,ド,,,,
b,バ,ビ,ブ,ベ,ボ,b,ビャ,ビュ,ビョ
p,パ,ピ,プ,ペ,ポ,p,ピャ,ピュ,ピョ
